fat_id,path,start,end,size,class,note
3,/battle/alb000_mdl.bin,2393600,2420864,27264,container,"in-house EZBIND"
4,/battle/alb000_mot.bin,2421248,2535464,114216,container,"in-house EZBIND"
5,/battle/alb000_sp.bin,2535936,2601904,65968,container,"in-house EZBIND"
6,/battle/alb000_tex.bin,2601984,2620140,18156,container,"in-house EZBIND"
7,/battle/amp000_mdl.bin,2620416,2636756,16340,container,"in-house EZBIND"
8,/battle/amp000_mot.bin,2636800,2722820,86020,container,"in-house EZBIND"
9,/battle/amp000_tex.bin,2723328,2728024,4696,container,"in-house EZBIND"
10,/battle/amp001_mdl.bin,2728448,2744780,16332,container,"in-house EZBIND"
11,/battle/amp001_tex.bin,2744832,2749528,4696,container,"in-house EZBIND"
12,/battle/amp002_mdl.bin,2749952,2766284,16332,container,"in-house EZBIND"
13,/battle/amp002_tex.bin,2766336,2771032,4696,container,"in-house EZBIND"
14,/battle/amp003_mdl.bin,2771456,2787788,16332,container,"in-house EZBIND"
15,/battle/amp003_tex.bin,2787840,2792536,4696,container,"in-house EZBIND"
16,/battle/amp00g_mdl.bin,2792960,2810460,17500,container,"in-house EZBIND"
17,/battle/amp00g_tex.bin,2810880,2815528,4648,container,"in-house EZBIND"
18,/battle/amp010_mdl.bin,2816000,2829840,13840,container,"in-house EZBIND"
19,/battle/amp010_mot.bin,2830336,2867276,36940,container,"in-house EZBIND"
20,/battle/amp010_tex.bin,2867712,2872280,4568,container,"in-house EZBIND"
21,/battle/amp011_mdl.bin,2872320,2886160,13840,container,"in-house EZBIND"
22,/battle/amp011_tex.bin,2886656,2891224,4568,container,"in-house EZBIND"
23,/battle/amp012_mdl.bin,2891264,2905104,13840,container,"in-house EZBIND"
24,/battle/amp012_tex.bin,2905600,2910152,4552,container,"in-house EZBIND"
25,/battle/amp013_mdl.bin,2910208,2924048,13840,container,"in-house EZBIND"
26,/battle/amp013_tex.bin,2924544,2929112,4568,container,"in-house EZBIND"
27,/battle/amp016_mdl.bin,2929152,2942992,13840,container,"in-house EZBIND"
28,/battle/amp016_tex.bin,2943488,2948088,4600,container,"in-house EZBIND"
29,/battle/amp01g_mdl.bin,2948096,2957920,9824,container,"in-house EZBIND"
30,/battle/amp01g_tex.bin,2958336,2962888,4552,container,"in-house EZBIND"
31,/battle/amp020_mdl.bin,2962944,2984864,21920,container,"in-house EZBIND"
32,/battle/amp020_mot.bin,2984960,3135120,150160,container,"in-house EZBIND"
33,/battle/amp020_tex.bin,3135488,3140168,4680,container,"in-house EZBIND"
34,/battle/amp021_mdl.bin,3140608,3162504,21896,container,"in-house EZBIND"
35,/battle/amp021_tex.bin,3162624,3167256,4632,container,"in-house EZBIND"
36,/battle/amp022_mdl.bin,3167744,3191208,23464,container,"in-house EZBIND"
37,/battle/amp022_tex.bin,3191296,3195944,4648,container,"in-house EZBIND"
38,/battle/amp023_mdl.bin,3196416,3219868,23452,container,"in-house EZBIND"
39,/battle/amp023_tex.bin,3219968,3224632,4664,container,"in-house EZBIND"
40,/battle/amp02g_mdl.bin,3225088,3247672,22584,container,"in-house EZBIND"
41,/battle/amp02g_tex.bin,3248128,3252728,4600,container,"in-house EZBIND"
42,/battle/amp030_mdl.bin,3252736,3271564,18828,container,"in-house EZBIND"
43,/battle/amp030_mot.bin,3271680,3403728,132048,container,"in-house EZBIND"
44,/battle/amp030_tex.bin,3403776,3409756,5980,container,"in-house EZBIND"
